Region1,Region2,t_statistic,p_value,cohens_d,abs_cohens_d,cvib,comparison
26,30,8.499425614542245,7.634995193411229e-12,1.108654499053955,1.108654499053955,0,NC vs AD
9,49,8.163541565996757,2.4771036976554606e-11,1.0538158416748047,1.0538158416748047,0,NC vs AD
12,35,-7.339773698579387,1.8045065227358722e-09,-0.9494183659553528,0.9494183659553528,0,NC vs AD
23,49,-7.372354061099441,1.8045065227358722e-09,-0.9299654960632324,0.9299654960632324,0,NC vs AD
18,26,7.224670824947383,2.245847289898246e-09,0.9271493554115295,0.9271493554115295,0,NC vs AD
30,38,-7.275513232243074,1.8045065227358722e-09,-0.9235787391662598,0.9235787391662598,0,NC vs AD
17,47,-7.143199499520892,3.304827067131746e-09,-0.9193888306617737,0.9193888306617737,0,NC vs AD
5,11,-7.3237626926274375,1.8045065227358722e-09,-0.9030642509460449,0.9030642509460449,0,NC vs AD
30,40,-6.890004610690506,1.4512125250848072e-08,-0.8941707611083984,0.8941707611083984,0,NC vs AD
49,67,-6.655730224312281,4.208361835398238e-08,-0.8644895553588867,0.8644895553588867,0,NC vs AD
20,43,-6.788717555924143,1.974842553202695e-08,-0.8554683923721313,0.8554683923721313,0,NC vs AD
36,38,6.573788595931329,5.417969900344188e-08,0.8498633503913879,0.8498633503913879,0,NC vs AD
44,48,-6.658356308187622,3.846497110240659e-08,-0.8491985201835632,0.8491985201835632,0,NC vs AD
2,46,-6.45029999858082,8.556017922362936e-08,-0.8390365242958069,0.8390365242958069,0,NC vs AD
34,35,-6.569746258293799,5.387635403179372e-08,-0.8372657299041748,0.8372657299041748,0,NC vs AD
54,55,6.507308943507801,6.20474600444859e-08,0.8276732563972473,0.8276732563972473,0,NC vs AD
18,23,6.461263475751885,7.785454157833956e-08,0.8274523019790649,0.8274523019790649,0,NC vs AD
2,19,-6.447295723077468,7.793251759722898e-08,-0.8220040202140808,0.8220040202140808,0,NC vs AD
31,46,-6.276974664497933,1.5580741130932118e-07,-0.8211838006973267,0.8211838006973267,0,NC vs AD
23,35,-6.520045034422927,6.20474600444859e-08,-0.8184260129928589,0.8184260129928589,0,NC vs AD
17,30,6.29427295379618,1.5580741130932118e-07,0.817572295665741,0.817572295665741,0,NC vs AD
15,48,-6.3914422847023635,9.512643005886375e-08,-0.812183141708374,0.812183141708374,0,NC vs AD
0,62,-6.126683809176365,2.811896707154405e-07,-0.8015208840370178,0.8015208840370178,0,NC vs AD
30,56,-6.256180105141766,1.5580741130932118e-07,-0.800077497959137,0.800077497959137,0,NC vs AD
28,36,-8.017785109761059,1.1664707903230218e-10,-1.0282429456710815,1.0282429456710815,0,NC vs MCI
39,55,-7.65294269288196,3.5540925404169255e-10,-0.9748602509498596,0.9748602509498596,0,NC vs MCI
3,41,-7.76744795342099,2.6065144704195816e-10,-0.9732045531272888,0.9732045531272888,0,NC vs MCI
22,42,-7.39898002182293,1.0128585044301063e-09,-0.9541900157928467,0.9541900157928467,0,NC vs MCI
3,46,7.363654159622271,1.0128585044301063e-09,0.9460166096687317,0.9460166096687317,0,NC vs MCI
10,65,-7.354808198365596,1.0128585044301063e-09,-0.9400978088378906,0.9400978088378906,0,NC vs MCI
30,40,-7.359609659143477,1.0128585044301063e-09,-0.9366751313209534,0.9366751313209534,0,NC vs MCI
36,56,7.194356325168546,2.2299295852761378e-09,0.9161107540130615,0.9161107540130615,0,NC vs MCI
28,64,7.046072518065226,5.837128863535567e-09,0.9107992649078369,0.9107992649078369,0,NC vs MCI
22,50,-6.9593324065781355,7.824238970548664e-09,-0.8951882123947144,0.8951882123947144,0,NC vs MCI
40,54,-6.91955547971893,8.037245146876307e-09,-0.8861687183380127,0.8861687183380127,0,NC vs MCI
16,50,-6.7621504975377285,1.7354099284645226e-08,-0.8666121363639832,0.8666121363639832,0,NC vs MCI
53,58,6.84995478991827,1.0515734629037574e-08,0.8607175946235657,0.8607175946235657,0,NC vs MCI
2,24,6.970891518557167,7.824238970548664e-09,0.8595487475395203,0.8595487475395203,0,NC vs MCI
9,49,6.690486103593647,2.0383044499874067e-08,0.8573801517486572,0.8573801517486572,0,NC vs MCI
4,28,-6.721181165243192,1.9704848710242848e-08,-0.857294499874115,0.857294499874115,0,NC vs MCI
23,67,-6.686399560920648,2.0383044499874067e-08,-0.8494188785552979,0.8494188785552979,0,NC vs MCI
18,54,-6.7060198194380485,2.036470600215021e-08,-0.8384082913398743,0.8384082913398743,0,NC vs MCI
2,19,-6.50679850838276,4.902940348951937e-08,-0.832557201385498,0.832557201385498,0,NC vs MCI
38,48,6.541947213651893,4.074502478843207e-08,0.8207453489303589,0.8207453489303589,0,NC vs MCI
18,31,6.610621920469017,3.211623878171513e-08,0.820231556892395,0.820231556892395,0,NC vs MCI
22,44,-6.33180276293004,1.0474347145935623e-07,-0.8094384074211121,0.8094384074211121,0,NC vs MCI
14,45,-6.2280873540254005,1.6462822508350324e-07,-0.8075032234191895,0.8075032234191895,0,NC vs MCI
4,7,-6.417802782801356,6.974091292623307e-08,-0.8025476932525635,0.8025476932525635,0,NC vs MCI
4,49,-6.435933383725678,6.84478227754061e-08,-0.802412748336792,0.802412748336792,0,NC vs MCI
4,57,9.109247537870418,7.728282086636112e-14,1.1520168781280518,1.1520168781280518,0,NC vs SCD
56,57,8.062425153466295,4.1224568008194447e-11,1.0310941934585571,1.0310941934585571,0,NC vs SCD
4,27,7.691206942239289,2.8772738656512403e-10,0.9857950210571289,0.9857950210571289,0,NC vs SCD
36,56,7.65164866814847,2.8772738656512403e-10,0.9834588170051575,0.9834588170051575,0,NC vs SCD
0,19,-7.130435308841382,5.331959213078841e-09,-0.9056823253631592,0.9056823253631592,0,NC vs SCD
20,35,-6.775455665473246,3.6096701000958606e-08,-0.8607945442199707,0.8607945442199707,0,NC vs SCD
55,57,6.489222580663979,1.5006970921918732e-07,0.8510470390319824,0.8510470390319824,0,NC vs SCD
2,9,-6.718169537816703,4.3315997390048956e-08,-0.8491525650024414,0.8491525650024414,0,NC vs SCD
2,36,6.669069975460591,5.050496392671451e-08,0.8414459228515625,0.8414459228515625,0,NC vs SCD
27,54,6.3820782243207645,2.1938229432400663e-07,0.8271831274032593,0.8271831274032593,0,NC vs SCD
0,12,6.201363487294831,5.95922636875203e-07,0.8138672113418579,0.8138672113418579,0,NC vs SCD
