n_samples,pearson_r,r_squared,p_value,slope,intercept,std_err,connection,score,p_value_fdr,significant_fdr,abs_r
100,-0.6603468350200602,0.4360579425210106,7.771189728240108e-14,-41.44068076641891,3.3948990140103676,4.760570322724181,avg_connection_strength_negative_vae_denoised,CDR_SOB,1.0879665619536152e-12,True,0.6603468350200602
100,-0.6430815935089138,0.41355393590996387,5.422135207935361e-13,-7.305567926772043,0.6411643744191651,0.87879768461663,avg_connection_strength_negative_vae_denoised,CDR,3.795494645554753e-12,True,0.6430815935089138
100,0.6204859573253394,0.3850028232379429,5.762154100917552e-12,137.5474473215372,17.12630587974002,17.56079208589034,avg_connection_strength_negative_vae_denoised,即刻记忆,2.6890052470948575e-11,True,0.6204859573253394
100,0.6073536992567452,0.3688785160008529,2.090114476085502e-11,72.66814496103501,5.483271022462679,9.601649251083018,avg_connection_strength_negative_vae_denoised,线索回忆,7.315400666299258e-11,True,0.6073536992567452
100,0.6026219751617181,0.3631532449478104,3.277721334533876e-11,75.85407441248537,22.280656344159848,10.147016838977684,avg_connection_strength_negative_vae_denoised,MMSE,9.177619736694851e-11,True,0.6026219751617181
100,0.588516532537952,0.3463517090704943,1.200810043720075e-10,65.31206470268731,7.206379430289006,9.063454793439764,avg_connection_strength_negative_vae_denoised,长时延迟再认,2.8018901020135083e-10,True,0.588516532537952
100,0.5837312947593907,0.3407422244814746,1.8393992579302383e-10,80.44364718424826,3.5240206095860804,11.302990639438232,avg_connection_strength_negative_vae_denoised,延迟回忆,3.6787985158604767e-10,True,0.5837312947593907
100,0.544163533418932,0.2961139511029771,4.8676853031981085e-09,81.53408936210212,18.1020535105392,12.698368658101298,avg_connection_strength_negative_vae_denoised,MoCA总分,8.51844928059669e-09,True,0.544163533418932
100,-0.5214772873834959,0.2719385612568491,2.6501340033126968e-08,-498.7179543504926,82.74381532717044,82.43100270791378,avg_connection_strength_negative_vae_denoised,连线测验A,4.1224306718197506e-08,True,0.5214772873834959
100,-0.46381042886176804,0.2151201139209372,1.1738267049650953e-06,-1023.3133594711122,162.7935583262584,197.44979915654207,avg_connection_strength_negative_vae_denoised,连线测验B,1.6433573869511335e-06,True,0.46381042886176804
100,0.41671053505366024,0.1736476700247078,1.6136191194770336e-05,14.854930556677427,4.038288491890896,3.2734501819386885,avg_connection_strength_negative_vae_denoised,数字广度逆向,2.0536970611525883e-05,True,0.41671053505366024
100,0.4110123881320589,0.16893118319801825,2.1593449333329152e-05,54.947672333356415,20.925266679845425,12.31118460447297,avg_connection_strength_negative_vae_denoised,Boston-初始命名,2.5192357555550677e-05,True,0.4110123881320589
100,-0.3215873062293847,0.10341839552787205,0.0011040959328665802,-524.5954051206197,80.04974299908798,156.02976653090786,avg_connection_strength_negative_vae_denoised,TMT B-A,0.0011890263892409326,True,0.3215873062293847
100,0.30574958347773323,0.09348280779680736,0.0019781594169381964,6.081638014342493,2.0059401753722446,1.9130647850727134,avg_connection_strength_negative_vae_denoised,CDT,0.0019781594169381964,True,0.30574958347773323
