clinical_score,n_samples,pearson_r,r_squared,p_value,slope,intercept,std_err,p_value_fdr,significant_fdr,abs_r
MoCA总分,100,-0.3958749000146824,0.1567169364616348,4.565351090972874e-05,-5.0506936292532885,19.631322118957904,1.1834957695724075,0.0007873055189610595,True,0.3958749000146824
长时延迟再认,100,0.38812824747459446,0.15064353648770004,6.605023480748249e-05,3.6609872257504836,9.04714427062771,0.8781221304906052,0.0007873055189610595,True,0.38812824747459446
MoCA总分,100,0.3865696833405182,0.14943612007798854,7.106665418909316e-05,4.92295423422638,20.335206358919276,1.1864199394532855,0.0007873055189610595,True,0.3865696833405182
长时延迟再认,100,-0.38209328434845685,0.1459952779441907,8.751704682255481e-05,-3.628577258665577,8.410514791403628,0.8865108758322288,0.0007873055189610595,True,0.38209328434845685
CDR,100,0.3809353042213082,0.14511170600218065,9.231515062542661e-05,0.3684871911850819,0.47736550213092394,0.09034680928703011,0.0007873055189610595,True,0.3809353042213082
MoCA总分,100,-0.3719320925633595,0.13833348147855942,0.00013885677033010783,-4.765591482544207,19.643031961407644,1.2014611398524642,0.0007873055189610595,True,0.3719320925633595
CDT,100,-0.3716219475698386,0.13810287191559986,0.00014079357193701465,-0.6325404043236663,2.011728078457389,0.15962525196144464,0.0007873055189610595,True,0.3716219475698386
MoCA总分,100,-0.37073439902816496,0.13744399462277465,0.0001464754453881041,-4.7534058774671655,19.52458532276438,1.202880897765944,0.0007873055189610595,True,0.37073439902816496
延迟回忆,100,-0.3647621746719888,0.13305144407143846,0.0001905897686161243,-4.280276649972345,5.256704801956191,1.1036863455311474,0.0009105955611659271,True,0.3647621746719888
CDR_SOB,100,-0.35710099207722723,0.12752111854253992,0.00026518100330897166,-1.9047327700023373,2.150072337921502,0.50327739111896,0.0010279565564996387,True,0.35710099207722723
MoCA总分,100,-0.3550878724815605,0.12608739718348097,0.00028882921059587065,-6.496511345594464,20.94603848720829,1.727688031726839,0.0010279565564996387,True,0.3550878724815605
长时延迟再认,100,-0.35499601884883253,0.12602217339852065,0.00028995325596621645,-4.810528582164022,9.502327747291686,1.2796950384465735,0.0010279565564996387,True,0.35499601884883253
即刻记忆,100,0.35335114943227747,0.12485703480511168,0.000310777563592914,6.6575632733652546,21.19640119565726,1.7804724558211693,0.0010279565564996387,True,0.35335114943227747
长时延迟再认,100,-0.35054640491245376,0.12288278199704598,0.0003494917058275402,-3.3267765397113465,8.605184383739589,0.8978295457519485,0.0010734388107560163,True,0.35054640491245376
CDT,100,-0.34813504725476896,0.12119801112708022,0.00038627560776146415,-0.5921691880641651,2.041561827059337,0.16107588919315624,0.0010765574212255671,True,0.34813504725476896
线索回忆,100,0.347254095277069,0.12058540668669573,0.00040057950557230405,3.531327410704837,7.6309745502881166,0.9633284921957928,0.0010765574212255671,True,0.347254095277069
CDR,100,-0.3429668113918062,0.11762623371626275,0.00047740406058968443,-0.33115263577783854,0.4208628040853591,0.09161980779424067,0.0012075514473739077,True,0.3429668113918062
线索回忆,100,-0.34124092001877493,0.11644536549525995,0.0005119830266962825,-3.4765362752248783,7.172701197276626,0.9673626782353898,0.0012230705637744526,True,0.34124092001877493
CDR_SOB,100,0.3373003763051832,0.1137715438556182,0.0005997148534155993,1.8024153382209596,2.374080690670548,0.5081569343169562,0.0013379284566558136,True,0.3373003763051832
MMSE,100,-0.33624959696776124,0.11306379146098187,0.0006253303377063068,-3.6039519288914694,24.052118505314322,1.019648234820776,0.0013379284566558136,True,0.33624959696776124
延迟回忆,100,0.3351422195543148,0.11232030732779254,0.000653406920692374,3.9255104101864835,5.898527345950219,1.1147618467783487,0.0013379284566558136,True,0.3351422195543148
MMSE,100,-0.3306540723033262,0.10933211553077328,0.0007794187266269877,-3.5615582244365926,23.914700698926385,1.0268595143086832,0.001523409329316385,True,0.3306540723033262
即刻记忆,100,-0.32730824117779056,0.10713068474289872,0.0008873994065158775,-8.859558684646252,22.01911264137611,2.5836641551068187,0.0016439529039226728,True,0.32730824117779056
即刻记忆,100,-0.3258892244331993,0.10620378660167214,0.0009371869997544177,-6.1513982790090305,20.460740722896464,1.80264439885171,0.0016439529039226728,True,0.3258892244331993
长时延迟再认,100,-0.3251572193893932,0.10572721732104197,0.0009638542530520538,-3.0726381257660296,8.741345313693632,0.9026928089287183,0.0016439529039226728,True,0.3251572193893932
MMSE,100,-0.3234222486283461,0.10460195090781574,0.001029845375018812,-4.970938750980015,24.975069326058524,1.469141253266581,0.0016439529039226728,True,0.3234222486283461
CDR,100,0.32309664016815237,0.10439143888794854,0.001042679576110551,0.44818252266958675,0.380279871051114,0.1326076428016368,0.0016439529039226728,True,0.32309664016815237
即刻记忆,100,-0.3224036477423074,0.10394411207754584,0.0010704809606938335,-6.1117262228334175,20.37193703148029,1.8126687841452025,0.0016439529039226728,True,0.3224036477423074
CDR,100,0.32142529519703933,0.10331422039250387,0.0011108803580290993,0.31225638119502147,0.464638314560009,0.09292624196908755,0.0016471674274224576,True,0.32142529519703933
线索回忆,100,-0.3193205214024817,0.10196559538875276,0.0012025370279512046,-3.269350226945502,7.100153063109714,0.9800947585064188,0.001649065374248169,True,0.3193205214024817
线索回忆,100,-0.31816670977869127,0.10123005521139795,0.0012556512449371244,-3.2553710473098243,7.189112638933694,0.9798441237104524,0.001649065374248169,True,0.31816670977869127
即刻记忆,100,-0.3181340863015725,0.1012092968669364,0.0012571835534019508,-6.0348017230408,20.242153690055368,1.816640741223245,0.001649065374248169,True,0.3181340863015725
数字广度逆向,100,-0.3179563465454523,0.10109623830853176,0.0012655617988416182,-0.9692749986765371,4.285192219231789,0.29195981092466783,0.001649065374248169,True,0.3179563465454523
CDR,100,0.316466199969115,0.1001508557228919,0.0013378255525264904,0.3076432991891764,0.4710226739281738,0.09315194858751578,0.0016828649766872372,True,0.316466199969115
线索回忆,100,-0.3145308191900672,0.09892963622037475,0.0014372716884319364,-4.595155049167015,8.072073213158996,1.4008875607491593,0.0016828649766872372,True,0.3145308191900672
长时延迟再认,100,0.31440582073515083,0.0988510201121438,0.0014439194815151226,2.479017678050081,9.705613551262001,0.7560914132205193,0.0016828649766872372,True,0.31440582073515083
连线测验A,100,-0.31413843994834906,0.0986829594531825,0.0014582333646119558,-21.34494247406895,63.67387080714982,6.516278827405349,0.0016828649766872372,True,0.31413843994834906
CDT,100,-0.3136048665297153,0.09834801231112056,0.0014871830026538376,-0.761679132073444,2.205534678842973,0.23296769254403746,0.0016828649766872372,True,0.3136048665297153
MMSE,100,-0.31013686070787855,0.09618487236973806,0.0016884005581629179,-3.3383410457812657,24.081309073267967,1.0337227658334547,0.0018615698461796274,True,0.31013686070787855
CDR_SOB,100,0.30904795700317245,0.09551063972783473,0.0017564864376959466,2.3681828324596337,1.9071582224618557,0.73616988061709,0.0018882229205231427,True,0.30904795700317245
延迟回忆,100,-0.307414806600163,0.09450386331701563,0.0018632681631444903,-3.622821394269728,5.405978614119768,1.132797822085125,0.0019541592930539774,True,0.307414806600163
CDR_SOB,100,0.30343924409845235,0.09207537485904015,0.00214816615375381,1.6295164623747151,2.3880618083983425,0.5168908738096935,0.0021993129669384244,True,0.30343924409845235
延迟回忆,100,-0.30060761057269203,0.09036493553422327,0.0023744609034985803,-5.058401737321163,6.391111701664387,1.6211899585931941,0.0023744609034985803,True,0.30060761057269203
